AccID	KO1	KO2	KO3	KO4	WT1	WT2	WT3	WT4
Wdr46	285	308	276	277	224	122	124	242
Ptgr1	593	615	530	519	720	772	973	1575
Wdr45	303	382	301	297	253	510	265	381
Vamp9	1	0	2	1	0	0	0	0
Vamp8	0	0	0	0	0	0	0	0
Vamp1	116	142	101	98	146	167	140	181
Cdk5r2	2	7	2	5	20	0	0	1
Vamp3	1671	1700	1721	1911	1511	2006	1568	1884
Cdk5r1	35	38	90	79	16	32	21	17
Vamp2	935	1077	793	886	709	725	658	657
Kank3	756	1084	593	823	636	777	715	754
Vamp5	0	0	0	0	0	0	0	0
Kank4	19	48	20	34	46	110	119	19
Vamp4	669	608	611	689	484	781	569	407
Wdr37	574	501	482	505	577	605	690	550
Xkrx	13	11	11	7	14	1	15	15
Wdr36	914	844	1896	2446	827	1188	678	1205
Wdr38	1	2	0	2	1	2	7	0
Zfp626	213	207	194	232	218	358	262	316
Ivd	935	1387	894	923	1227	1172	1132	1654
Zfp623	303	268	301	336	226	241	191	346
Zfp622	925	854	776	903	589	492	408	622
Lhpp	97	134	90	94	74	47	98	72
Wdr31	59	21	25	16	32	43	44	57
1700034E13Rik	1	0	0	0	0	0	0	0
Ptgs1	5138	4105	6495	6118	2733	4024	3558	6875
Wdr33	1059	1170	1129	1301	843	1063	778	1008
Zfp629	493	505	426	438	412	279	320	474
Zfp628	597	772	639	469	336	243	254	372
Ivl	49	77	52	23	1869	401	180	288
Wdr35	238	277	278	271	277	349	328	467
Gykl1	0	0	2	0	0	0	0	0
Pram1	59	55	53	51	72	64	43	40
Ptgs2	327	446	904	1031	316	684	521	716
Wdr34	292	268	256	221	171	207	105	163
Gm8720	0	0	0	0	0	0	0	0
Letm1	881	964	905	729	675	523	670	754
Il6st	6484	5419	5803	5891	3394	4016	4432	2939
Ahsg	6	13	15	8	9	1	11	16
Whrn	207	346	199	216	246	197	181	325
Prame	0	0	0	0	0	0	0	0
Cgnl1	2493	2284	2526	2899	4395	2591	3079	3707
Wdr26	4205	3736	4103	3924	3974	4692	3578	3412
Wdr25	82	73	81	69	51	78	47	54
Zfp616	0	0	0	0	0	0	0	0
Wdr27	14	17	9	16	5	14	7	17
Sel1l	4231	3925	4247	4177	3405	3291	3497	3979
Sbspon	15	1	5	15	9	45	5	9
Zfp612	140	189	110	116	180	265	198	292
Ptgdr2	0	0	3	3	8	3	0	4
Ahrr	5	13	6	6	9	14	3	0
Ubn1	1639	1416	1450	1572	1345	1763	1497	1718
Ubn2	1195	1094	1361	1708	1480	2172	1854	1609
Wdr20	380	381	360	447	297	305	267	388
Zfp618	316	348	237	319	257	334	189	553
Zfp617	276	268	287	309	230	352	241	323
Wdr24	632	487	702	501	362	336	349	446
Zfp619	60	51	40	47	60	90	72	66
Hsf2bp	13	8	6	9	10	14	8	14
Olfml2b	581	549	978	855	301	333	325	405
Wdr17	0	1	0	0	0	1	2	0
Zfp605	127	109	79	90	48	69	59	82
Il6ra	691	541	621	494	503	669	540	427
Wdr19	325	310	372	347	293	498	371	381
Bhlhe41	1001	687	1009	735	1010	431	612	377
Wdr18	549	555	592	618	380	300	293	453
Plekho2	3455	3008	3014	3778	614	310	464	425
9530068E07Rik	5341	5355	5794	5469	3421	3273	2717	2941
Plekho1	1340	1584	1521	2051	301	330	330	394
Zfp600	1	0	0	2	0	0	0	0
Pgap3	201	208	153	167	223	192	202	195
Pgap2	651	689	599	614	970	992	858	1169
Pgap1	228	213	298	368	5445	3566	871	1387
Wdr11	707	632	659	703	907	1121	1026	1137
Zfp606	257	230	271	305	185	271	197	248
Letm2	61	44	65	76	40	36	56	71
Wdr13	888	860	792	809	952	1298	1020	1003
Zfp609	1401	1338	1443	1601	1336	1220	1150	1145
Olfml2a	519	576	259	385	247	396	384	621
Wdr12	257	250	468	429	210	332	203	204
Zfp608	806	821	690	834	763	725	899	934
Hoxb13	1	9	2	0	0	0	0	0
Ubp1	1422	1356	1396	1733	1047	1125	1068	1118
Fam3a	267	277	298	249	224	278	198	237
Fam3b	1	2	0	2	23	29	5	19
Fam3c	1309	1531	1422	1314	1284	1696	1437	2862
Kera	0	0	0	0	0	0	0	0
Gm10542	0	0	0	0	0	0	0	0
Lsm14b	591	691	654	964	574	632	445	676
Lsm14a	1770	1630	1691	1822	1709	1890	1686	1967
Iyd	14	27	15	13	25	31	42	46
Gm10549	0	2	0	3	1	0	3	0
Plekhn1	814	807	669	836	769	458	549	793
Erbin	4735	4150	4727	4403	3631	5252	3490	3716
4833420G17Rik	1039	1030	798	815	710	873	738	991
Slc14a2	1	1	1	0	0	0	1	0
6820408C15Rik	30	21	44	48	21	55	42	32
Slc14a1	112	66	56	139	1	7	0	0
Plekhm3	734	514	500	534	501	517	491	253
BC035947	0	1	1	0	1	2	2	17
Plekhm2	1479	1392	1289	1275	968	698	903	778
Plekhm1	1449	1330	1045	1274	1341	1156	1211	921
4930524B15Rik	0	0	0	0	0	0	6	0
1810030O07Rik	899	898	662	738	534	650	554	481
A630095N17Rik	0	0	3	2	7	2	6	1
Drc7	73	54	52	75	25	75	68	33
Olfr710	0	0	0	0	0	0	0	0
Ubr1	1117	1336	1149	1320	1697	2867	2409	2699
Ubr2	2139	2315	1656	2025	1825	1813	1906	1808
Mrto4	437	524	622	599	175	124	93	173
Ubr3	1317	1312	1551	1526	2065	3046	2195	2517
Olfr711	0	0	0	0	0	0	0	0
Ubr4	6505	5876	5640	6276	6438	6896	6073	7128
Gm10563	4	10	5	6	4	2	0	7
Fibin	85	209	85	134	115	159	162	44
Orc5	301	272	280	303	228	294	228	371
Tfap2c	6	0	0	2	7	0	13	4
Orc4	551	544	585	860	470	824	563	621
Tfap2d	0	0	0	0	0	0	0	0
Tfap2a	354	453	223	609	18	5	6	12
Orc6	406	539	560	475	225	297	216	427
Tfap2b	5	1	1	1	1	17	19	16
Orc1	46	58	66	85	33	27	26	49
Orc3	716	702	557	601	500	704	700	781
Tfap2e	1	4	33	9	0	1	1	0
Orc2	514	426	594	510	266	303	259	324
Pudp	0	0	0	0	1	7	6	10
Olfr714	0	0	0	0	0	0	0	0
Ubr5	3838	3261	3476	4322	4100	5060	3806	4859
Olfr713	0	0	0	0	0	0	0	0
Olfr716	0	0	0	0	0	0	0	0
Ubr7	794	676	786	781	497	775	538	773
Drd1	0	0	0	1	0	2	1	2
Olfr715	0	0	0	0	0	0	0	0
Drd2	2	0	0	0	0	0	0	0
Drd3	0	0	0	0	14	2	2	1
Coa3	607	769	634	698	503	419	396	626
Drd4	2	0	2	0	1	3	1	2
Coa4	85	65	75	63	56	76	71	94
Drd5	0	0	0	0	0	0	0	0
Ppp3ca	4333	3761	3427	3156	2481	4373	3020	3721
Akt1s1	977	963	761	643	583	467	455	792
Ppp3cc	202	231	265	241	149	195	125	146
Ppp3cb	1007	954	1220	1264	1081	1600	1080	1216
Gm21209	0	0	0	0	0	0	0	0
Olfr701	0	0	0	0	0	0	0	0
Atp6ap1l	0	0	0	0	0	0	0	0
Olfr700	0	0	0	0	0	0	0	0
Htatip2	361	404	416	340	286	276	220	457
Gm10553	2	1	4	3	0	0	0	0
Secisbp2	383	367	340	316	271	309	322	363
Lhx1	0	0	0	0	0	2	0	0
Lhx2	3	2	0	1	1	0	0	1
Lhx3	3	1	0	6	1	0	21	0
Lhx8	15	47	3	3	0	1	0	0
Olfr703	0	0	0	0	0	0	0	0
Slc27a5	6	6	7	7	0	0	0	0
Lhx9	6	7	3	0	2	0	6	0
Olfr702	0	0	0	0	0	0	0	0
Slc27a4	830	843	749	919	1219	993	647	1138
Olfr705	0	0	0	0	0	0	0	0
Slc27a3	177	165	142	160	46	69	49	75
Olfr704	0	0	0	0	0	0	0	0
Slc27a2	2	13	20	5	5	14	17	9
Drc1	49	51	49	81	53	79	76	53
Lhx4	0	0	1	2	0	0	0	0
Olfr707	0	0	0	0	0	0	0	0
Lhx5	0	0	0	0	0	0	0	0
Olfr706	0	0	0	0	0	0	0	0
Drc3	88	55	85	86	59	122	126	78
Lhx6	54	52	60	125	53	101	64	81
Slc27a6	15	19	8	32	42	46	20	10
Olfr730	0	0	0	0	0	0	0	0
Olfr732	0	0	0	0	0	0	0	0
Olfr731	0	2	0	0	0	0	0	0
Olfr734	0	0	0	0	0	0	0	0
Olfr733	0	0	0	0	0	0	0	0
Mpv17l2	0	0	0	0	0	0	0	0
Rhox4a2	0	0	0	0	0	0	0	0
Plekhj1	334	282	276	351	160	145	121	193
Ythdc2	265	237	302	310	262	351	268	270
Nob1	538	616	659	695	284	205	228	363
Ythdc1	1698	1882	2245	2257	1093	1336	1074	1270
Olfr736	0	0	0	0	0	0	0	0
Olfr735	0	0	0	0	0	0	0	0
Pigyl	279	339	296	215	160	91	160	217
Olfr738	0	0	0	0	0	0	0	0
Olfr739	0	0	0	0	0	0	0	0
C1ql1	33	11	44	17	1	0	0	1
Coa5	1634	1551	1848	1784	1565	2101	1565	1553
C1ql2	5	2	0	12	0	0	0	1
Coa6	155	149	160	154	73	115	74	109
Csnk2b	960	940	1011	1045	812	624	755	1235
C1ql3	7	2	20	1	2	4	3	0
Coa7	216	237	270	338	89	86	60	74
C1ql4	0	1	3	4	1	0	0	0
Plac9b	0	0	0	0	0	0	0	0
Olfr720	0	0	0	0	0	0	0	0
Plac9a	0	0	0	0	0	0	0	0
Olfr723	0	0	0	0	0	0	0	0
Olfr722	0	0	0	0	0	0	0	0
Hs3st3a1	56	157	53	57	47	35	58	12
Noa1	303	269	296	324	183	237	148	241
Olfr725	0	0	0	0	0	0	0	0
Olfr724	0	0	0	0	0	0	0	0
Olfr727	0	0	0	0	0	0	0	0
Olfr726	0	0	0	0	0	0	0	0
Csnk1d	3140	3166	3521	3619	2742	2480	2078	2538
Olfr729	0	0	0	0	0	0	0	0
Csnk1e	2465	2448	2315	2553	1527	1283	1061	1661
Olfr728	0	0	0	0	0	0	0	0
Vezf1	0	0	0	0	0	0	0	0
Olfr750	0	1	0	0	1	3	6	0
Atp1a2	114	287	87	184	235	388	295	129
Atp1a1	13737	13539	13451	11809	19681	24849	19711	29191
Atp1a4	0	0	0	2	2	2	0	0
Atp1a3	338	329	731	1573	160	36	31	96
Nod2	52	61	49	73	35	26	51	45
Nod1	1029	958	913	795	768	725	876	796
Gm10521	34	31	26	39	34	29	53	17
Plekhh3	543	478	654	638	353	305	241	290
Plekhh2	491	383	327	455	610	737	796	803
Plekhh1	203	209	209	293	732	660	442	822
Coch	4	5	4	3	1	1	4	3
4931428L18Rik	1	0	0	1	4	0	3	1
Cd209g	1	0	0	0	1	1	6	0
Cd209f	2	2	0	0	2	10	6	0
Atp1b1	7104	10248	5979	5630	9896	16235	15359	14339
Mcrip2	79	74	105	70	61	38	66	82
Olfr741	0	0	0	0	0	0	0	0
Mcrip1	1284	1052	1106	1013	568	515	472	417
Olfr740	0	0	0	0	0	0	0	0
Atp1b3	3536	3016	3570	3610	2737	2641	2458	2641
Cd209c	11	6	8	1	4	7	16	4
Olfr743	0	0	0	0	0	0	0	0
Pced1a	209	168	177	257	121	103	101	104
Atp1b2	72	60	101	100	83	92	107	174
Cd209b	0	2	0	0	4	10	9	0
Olfr742	0	3	0	0	0	0	0	0
Pced1b	291	233	199	223	104	80	163	144
Cd209e	1	1	0	2	1	15	0	5
Olfr745	0	0	0	0	0	0	0	0
Atp1b4	0	0	4	0	0	0	0	0
Cd209d	8	1	1	0	0	9	2	0
Olfr744	0	0	0	0	0	0	0	0
Cd209a	24	25	10	9	16	33	49	10
Plekhg6	132	139	152	138	273	247	138	373
Slc4a10	12	7	7	4	3	22	13	50
Plekhg5	729	877	616	655	464	358	428	595
Slc4a11	76	52	47	79	496	307	56	368
Plekhg4	25	9	43	33	5	20	1	6
Smap1	422	400	369	376	324	367	340	363
Plekhg3	755	927	1006	1221	1762	607	274	882
Smap2	796	788	807	775	878	585	782	830
Plekhg2	897	1015	902	1173	875	702	656	1107
D6Ertd527e	47	28	31	46	33	16	19	36
Plekhg1	583	467	401	590	600	585	934	487
Gm10518	0	0	0	0	0	0	0	0
Cobl	349	317	327	421	675	801	832	712
Ubtf	2746	2603	2880	2926	1582	1145	1157	1623
Drg1	1130	1198	1204	1416	876	1200	829	983
Olfr747	0	0	0	0	0	0	0	0
Wdr95	17	11	14	20	11	27	29	14
Drg2	628	726	763	700	460	332	372	549
Olfr746	0	0	0	0	0	0	0	0
Olfr749	0	0	0	0	0	0	0	0
Olfr748	0	0	0	0	0	0	0	0
Smc1a	1180	1141	1292	1492	1494	1245	1462	1671
Smc1b	5	5	3	5	0	0	0	0
Rps14	9813	10409	9200	8628	5219	8061	4982	9747
Rps15	7032	7237	6297	5953	3832	1934	2679	4264
Rps16	38	74	46	33	43	24	28	44
Rps17	792	929	823	733	574	522	527	1015
Rps18	3754	3921	3900	3403	2685	1717	2279	4189
Rps19	2588	3027	2281	2244	1752	3137	1948	2982
Pikfyve	707	678	763	887	628	917	682	530
Mlc1	1266	1532	878	840	1147	1136	1582	1362
Rps10	9	14	11	34	7	1	8	9
Rps11	6319	6770	6118	5962	4601	2426	3212	6196
Rps12	316	326	303	355	220	157	204	229
Rps13	51	51	79	77	53	78	81	106
Paqr7	710	816	668	718	994	797	711	792
Cdc42bpa	1865	1950	1999	2283	2182	2725	2291	2070
Paqr6	18	44	22	24	18	8	17	62
Paqr9	3	4	4	7	1	18	5	0
Paqr8	1079	835	964	1374	1878	2198	2074	2087
Paqr3	43	26	27	29	22	55	13	10
Timeless	263	287	332	307	128	139	120	183
Cdc42bpb	3944	4297	3719	4288	3038	2780	2524	3102
Cog1	547	591	481	609	603	560	498	519
Paqr5	7	14	6	16	347	362	60	333
Cog2	644	690	570	605	487	678	434	586
Paqr4	335	394	268	242	397	544	450	827
Cog3	785	659	714	861	809	978	692	858
Cog4	897	842	857	990	769	927	742	929
Cog5	187	172	204	248	247	326	413	282
Cdc42bpg	0	0	0	0	0	0	0	0
Cog6	567	503	460	573	634	721	656	989
Cog7	339	374	360	431	589	631	489	607
Gm6096	6	2	5	1	8	7	10	6
Cog8	886	909	794	940	402	474	382	470
Gigyf2	854	817	812	1063	865	970	789	812
Polr1b	597	685	922	1093	279	493	302	579
Polr1c	824	884	731	853	648	686	688	1074
Polr1a	1123	1123	1442	1252	768	816	786	1063
Yod1	356	389	329	413	400	777	580	434
Bend4	188	196	238	184	88	100	113	59
Polr1d	1326	1390	1465	1656	675	507	478	829
Bend3	274	283	449	480	384	378	211	268
Pgbd5	64	68	46	65	1	7	7	1
Polr1e	213	180	224	261	86	78	78	124
Bend6	72	60	134	135	32	38	42	18
Bend5	75	72	46	26	22	6	18	24
Bend7	579	716	651	588	800	1075	966	1331
Pgbd1	14	40	11	24	31	15	28	28
Sstr5	1	0	6	0	4	0	0	0
Sstr4	4	20	1	3	13	23	12	4
Sstr3	7	2	0	8	4	5	7	9
Lrpap1	1289	1479	1224	1175	1130	776	1014	1106
Sstr2	8	0	14	38	59	48	85	128
1810032O08Rik	93	90	109	90	61	57	48	58
Sstr1	3	1	0	0	0	0	3	2
Noct	721	647	846	1267	348	450	448	710
Trpc5os	2	0	0	0	0	0	0	0
Gja10	0	0	0	1	0	0	0	0
Hs3st3b1	224	268	175	139	249	273	324	276
4921501E09Rik	0	0	0	0	0	0	0	0
Fxr1	1509	1888	1619	1321	984	1438	949	1312
Fxr2	1414	1553	1314	1603	890	674	746	853
Gm21292	0	0	0	0	0	0	0	0
Gm21293	0	0	0	0	0	0	0	0
Gm21294	0	0	0	0	0	0	0	0
Rps25	3752	4130	3699	3106	1765	1560	1843	2650
Rps26	1584	2035	1885	1604	915	711	969	1228
Vezt	389	483	562	636	593	627	496	437
Rps27	55	43	54	43	27	39	27	63
Rps28	198	266	243	168	106	121	111	186
Mep1a	1	1	3	4	3	1	0	0
Rps29	14	18	12	12	12	13	10	11
Mep1b	0	0	0	0	0	5	0	3
Olfr1150-ps1	0	0	0	0	0	0	0	0
Rps20	5438	5653	3439	3396	2518	2019	2079	3473
Pum2	3305	3306	3698	4389	3855	5139	3834	4516
Rps21	713	857	735	501	352	576	267	523
Pum3	787	754	1095	887	625	558	504	667
Rps23	140	119	124	130	46	36	33	37
Pum1	1013	893	1152	1242	1122	1620	1129	1330
Rps24	6052	6148	6329	5811	3441	3151	3149	5016
Kantr	114	130	130	127	159	272	155	136
Gm45233	0	0	0	0	0	0	0	0
Gm45234	0	2	4	3	4	5	6	5
Ccar1	1473	1400	1675	1770	1356	1504	1359	1435
Ccar2	957	971	790	714	705	657	636	711
Orm1	60	49	76	62	206	149	198	554
Gm45208	0	0	0	0	0	0	0	0
Rps15a	2554	2651	2674	2333	1518	1926	1715	2265
Arl2bp	912	1087	1043	1078	914	1310	845	1067
Orm3	3	16	3	14	42	83	56	145
Orm2	10	4	2	15	10	17	25	48
Coil	217	243	277	348	121	99	136	104
Rftn1	507	433	519	726	320	257	344	311
Rftn2	534	437	358	398	101	211	194	180
Mchr1	56	26	38	0	2	2	3	4
Plxdc2	1310	1084	1433	1057	667	879	750	454
Plxdc1	571	448	314	653	80	123	112	107
Shtn1	943	798	891	931	1314	994	1419	1617
Gm10570	3	0	0	1	0	0	0	0
Lias	351	413	448	378	260	247	279	377
Mlf1	53	59	57	52	26	91	65	37
Ndel1	1337	1284	1193	1219	1094	1058	921	956
Mlf2	3049	3519	2761	2827	2541	1889	1797	3383
Gm10577	0	0	0	0	0	0	0	0
C1qbp	1355	1484	1758	1577	578	420	383	733
Mlec	4220	3932	4359	5511	4420	6122	4557	6396
2010111I01Rik	455	357	471	484	315	407	378	404
BB014433	0	0	0	0	0	0	0	0
Gm45213	0	0	0	0	0	0	0	0
Lynx1	419	303	379	381	422	477	404	539
Hoxc10	1	28	0	0	0	0	0	0
Gm21258	0	0	0	0	0	0	0	0
Hoxc12	0	0	0	0	0	0	0	0
Hoxc11	7	35	0	0	0	0	0	0
Hoxc13	0	6	0	0	0	0	0	1
Nol8	401	392	573	612	287	391	396	473
Nol7	674	672	673	750	403	439	448	547
Nol9	693	753	767	1019	471	486	448	529
Aif1	136	142	148	104	37	54	39	58
Nol4	7	0	0	1	0	0	0	0
Nol3	212	253	214	95	97	114	106	199
Nol6	1463	1520	1130	1107	787	697	640	901
Drp2	7	7	18	18	3	12	8	4
Wif1	11	5	12	14	26	29	15	22
Tlnrd1	1013	1074	912	1210	731	644	541	711
Rpl10-ps3	509	583	524	429	304	392	267	322
Aida	1654	1626	1646	1872	682	1091	648	524
Jhy	17	11	36	16	14	23	16	6
Mmel1	0	3	0	1	0	0	0	2
Gm21256	0	0	0	0	0	0	0	0
Gm47841	1	3	3	1	0	0	0	0
Gm10591	0	0	0	0	0	0	0	0
Mlh1	239	163	195	234	160	212	188	217
Aig1	797	765	856	1264	553	532	556	496
Mlh3	325	292	386	525	303	457	308	369
Tsnax	927	1059	1160	1035	950	1184	906	1239
2310057M21Rik	186	233	206	285	124	129	130	173
Gm21244	0	0	0	0	0	0	0	0
Cacna1g	73	52	46	7	14	21	58	16
Chaf1b	205	226	241	188	107	149	110	279
Cacna1h	91	97	73	65	89	311	201	471
Chaf1a	491	514	515	681	163	140	126	192
Cacna1e	6	8	4	9	12	26	29	10
Mlip	0	6	3	0	0	5	2	1
Cacna1f	7	8	2	2	9	0	7	0
Cacna1c	1933	1444	955	1547	524	500	995	478
Gm9999	0	0	0	0	0	0	0	0
Cacna1d	123	105	141	93	96	145	154	80
Dglucy	142	197	125	129	111	103	73	194
Cacna1a	55	72	55	26	28	82	43	69
4931406B18Rik	6	4	2	5	9	3	0	0
Cacna1b	27	7	30	130	8	17	12	11
Vmn2r104	0	0	0	13	0	0	0	0
Zfp551	28	34	27	25	45	30	35	31
Vmn2r105	0	0	0	0	0	0	0	0
Bhlhe40	4401	3146	4539	5874	3616	3314	4104	7497
Ssty2	0	0	0	0	0	0	0	0
Vmn2r102	0	0	0	0	0	0	0	0
Zfp553	376	400	346	286	195	102	144	224
Ssty1	0	0	0	0	0	0	0	0
Vmn2r103	0	0	0	0	0	0	0	0
Vmn2r100	0	0	0	0	0	0	0	2
Lifr	1199	1279	1086	969	947	1215	1251	883
Vmn2r101	0	0	0	0	0	0	0	0
Comp	17	15	9	5	2	7	4	11
Zfp558	6	5	21	16	17	27	13	15
Comt	0	0	0	0	0	0	0	0
Cacna1s	6	12	9	8	10	5	17	13
Cavin3	818	768	862	735	332	262	231	478
Abhd14b	585	632	534	571	405	629	572	663
Cavin4	20	27	12	24	6	5	9	5
Abhd14a	206	160	183	197	51	76	64	73
Baalc	0	0	0	0	0	0	0	0
Cavin1	5468	5532	5781	5413	3980	3309	2539	3318
Cavin2	1033	1695	960	653	1729	3452	2466	1544
1700016C15Rik	1	6	0	4	24	11	5	47
Nphs2	8	2	8	1	5	17	8	3
Nphs1	0	0	0	0	0	0	0	0
Cacna1i	45	19	29	4	9	11	36	10
Jcad	3295	3491	2798	3734	1591	2320	2365	1127
Nom1	850	847	930	823	518	578	443	678
Atxn1l	2023	1933	1839	2031	1061	1155	856	1027
Lig1	452	456	592	537	437	336	342	521
Pus3	208	245	225	268	101	136	131	173
Gm7347	1	1	0	2	0	0	0	2
Pus1	462	439	551	540	189	148	108	261
Gm8677	0	0	0	0	0	0	0	0
Abhd16a	750	781	658	597	754	733	708	828
Vmn2r115	0	0	0	0	0	0	0	0
Vmn2r116	0	0	0	0	0	0	0	0
Vmn2r113	0	0	0	0	0	0	0	0
Vmn2r114	0	0	0	0	0	0	0	0
Zfp541	4	1	0	1	0	3	0	3
Vmn2r111	0	0	0	0	0	0	0	0
Lig3	382	445	487	496	389	350	313	315
Vmn2r112	0	0	0	0	0	0	0	0
9130204L05Rik	0	0	0	0	0	2	0	0
Lig4	236	314	259	333	179	249	171	226
Pus7	521	520	641	732	236	244	192	405
Vmn2r110	0	1	0	0	0	0	0	0
Bhlhe23	0	0	0	0	0	0	0	0
Colq	9	11	3	4	16	25	18	2
Ica1l	27	22	41	18	12	23	16	12
Pura	741	665	825	783	535	813	475	605
Fcrl1	6	18	18	36	15	15	22	22
Purb	3010	2788	3077	3522	4225	5257	3421	3987
Vmn2r108	0	0	0	0	0	0	0	0
Vmn2r109	0	0	0	0	0	0	0	0
Bhlhe22	416	344	434	510	26	21	13	10
Fcrl6	4	3	4	0	0	0	0	0
Vmn2r106	0	0	0	0	0	0	0	0
Fcrl5	0	0	3	1	2	2	3	0
Vmn2r107	0	1	0	0	0	0	0	0
Psen1	1739	1900	1538	1799	1164	1161	1078	1225
Psen2	829	766	618	528	405	375	414	393
Ajap1	9	3	11	29	12	15	38	7
Purg	69	60	76	146	83	43	74	51
Gm6020	3	2	2	2	5	4	0	4
Gm9972	0	0	0	0	0	0	0	1
Mlkl	276	385	381	467	261	216	222	403
Atxn2l	2661	2916	2287	2459	2507	1818	2123	2906
Nop2	1584	2172	1611	1553	430	403	433	580
Nono	2699	2604	3754	4220	2962	2886	2400	2986
Abhd17b	1164	1138	1064	1033	745	1041	918	948
Abhd17a	1327	1196	1214	1201	857	818	640	765
Dimt1	90	92	69	131	41	59	47	79
Coq2	493	546	630	597	437	550	444	604
Coq3	178	136	126	153	119	100	98	119
Coq4	69	77	59	99	83	106	88	125
Nop9	494	503	551	578	354	380	234	338
Coq5	239	182	240	277	200	142	149	277
Epb41l2	1929	1713	1727	1955	1905	2052	1679	1443
Coq6	172	207	149	128	106	188	147	265
Epb41l3	593	372	446	855	48	60	88	76
Psg19	0	2	0	0	1	0	0	0
Zfp536	1	1	0	0	2	3	0	0
Coq7	147	206	140	161	184	122	157	271
Epb41l1	1920	1536	1789	1610	1604	1410	1029	1311
Coq9	550	429	455	433	469	496	424	725
Psg16	0	0	0	0	1	1	0	1
Zfp532	945	1009	948	994	475	569	475	521
Psg18	0	0	0	0	0	0	0	0
Abhd16b	6	4	8	6	6	24	1	8
Epb41l5	894	842	784	862	1377	1884	1521	1503
Psg17	2	2	15	14	21	6	0	10
Zfp534	1	3	4	6	0	0	0	0
Copa	5187	4477	4885	6430	5524	6357	4834	5798
Coro2a	435	361	370	477	1755	928	483	1307
Coro2b	269	332	163	231	344	282	517	578
Gm8653	0	0	0	0	0	0	0	0
Fcrlb	97	98	105	141	39	9	9	21
Fcrla	19	21	12	21	24	25	32	10
Gm7324	18	14	28	18	5	10	10	12
Isoc1	560	397	642	871	622	787	787	771
Cop1	457	378	418	399	326	441	320	335
Zfp526	229	169	175	188	176	184	172	189
Psg27	0	0	0	0	0	0	0	0
Fcrls	280	183	173	249	89	98	80	138
Nphp4	41	33	44	78	14	48	29	34
Psg26	0	0	0	0	0	0	0	0
Zfp521	385	230	105	161	127	257	251	414
Nphp3	223	226	249	258	172	172	149	128
Psg29	0	0	0	0	0	0	0	0
Zfp524	72	69	60	61	46	31	35	77
Abhd17c	1662	1846	1815	1715	1772	2608	1897	2511
Jmy	1560	1380	1113	1293	679	1084	792	791
Psg28	0	0	0	0	0	0	0	0
Zfp523	503	516	499	484	448	303	344	530
Nphp1	371	356	341	310	189	237	203	242
Psg23	0	0	0	0	0	0	0	0
Psg22	2	4	0	6	0	0	3	0
Psg25	0	0	0	0	0	2	0	0
Coro1b	0	0	0	0	0	0	0	0
Gm8660	0	0	0	0	0	0	0	0
Coro1c	3863	3684	4319	4594	2394	2002	1925	2871
Psg21	0	0	0	0	0	0	0	0
Coro1a	1386	1386	1252	1233	1000	930	890	681
Psg20	0	0	0	0	3	0	0	0
D430019H16Rik	43	24	24	28	50	42	36	28
Rimkla	24	5	12	27	12	7	35	19
Rimklb	6	6	9	3	11	1	8	4
Deaf1	330	348	283	394	321	245	238	442
Zfp595	99	118	108	118	82	186	144	127
Zfp597	328	320	376	424	222	339	276	262
Zfp593	2	5	11	5	2	4	5	3
Zfp592	916	958	866	937	946	966	877	952
Pom121	1120	1068	1276	1327	947	880	742	812
Tmem106a	588	486	537	480	474	312	485	374
Kcnip3	17	21	19	24	12	23	14	9
Zfp599	48	57	64	48	50	49	44	52
Kcnip4	53	32	23	46	43	83	59	43
Zfp598	1537	1349	1436	1301	999	905	908	1537
Kcnip1	11	3	1	0	8	0	8	5
Tmem106b	3322	2722	3700	2600	2847	4547	2757	2886
Kcnip2	12	11	2	8	10	27	17	45
Tmem106c	538	479	383	421	273	215	293	464
Blmh	526	656	721	921	475	665	556	476
Nos1	52	14	40	163	2	0	0	0
Cope	1236	1148	955	1022	989	734	799	1427
Iglc2	39	75	19	40	38	41	56	25
Zfp583	29	29	45	35	10	20	26	25
Nup210l	24	28	66	150	62	41	21	19
Txnl4a	275	299	391	630	145	231	136	224
Zfp580	134	144	73	54	26	49	17	43
Klra10	2	2	0	0	0	0	0	0
Smbd1	7	4	4	3	52	54	48	337
Aim2	189	157	267	244	665	104	158	161
Kcnk12	44	56	87	82	19	36	13	7
Klra17	13	20	11	6	11	1	0	3
Schip1	2	9	1	5	6	0	2	1
Kcnk13	109	79	116	124	16	11	11	26
Txnl4b	167	200	183	185	106	134	145	197
Kcnk10	1	5	8	6	0	0	0	0
Blnk	88	60	99	73	71	63	57	69
Kcnk16	0	0	0	0	0	0	0	0
Nadsyn1	174	152	151	159	146	234	124	231
Kcnk15	0	0	0	0	0	0	0	0
Kcnk18	0	0	0	0	0	2	0	0
Gm7356	0	0	0	0	0	0	0	0
Gm7358	0	0	0	0	0	0	0	0
Polr2c	244	245	209	308	158	151	177	214
Polr2d	418	468	475	437	266	323	240	365
Polr2a	1814	1862	1862	1982	3176	3490	2895	2513
Polr2b	1015	997	1032	1120	1039	970	920	1375
Poldip3	2010	1794	1725	2111	1337	1438	1118	1463
Polr2g	528	524	634	539	433	342	354	524
Ncbp3	553	600	615	581	522	626	521	505
Poldip2	881	1000	869	744	679	668	679	831
Polr2h	283	199	318	229	132	154	113	319
Polr2e	1181	1196	1019	952	739	291	640	879
